level_0,level_1,level_2,no_aud_data_Fz
5,0,31,-1.100237039305542e-06
5,0,32,-3.198233846342066e-07
5,0,33,-4.899158929378308e-11
5,0,34,-1.4246317262779174e-07
5,0,35,-3.2176829360819433e-07
5,0,36,-3.9677198083219267e-07
6,0,0,7.292014306105885e-06
6,0,1,6.192808451908579e-06
6,0,2,4.5646084570640085e-06
6,0,3,3.1616204540114165e-06
6,0,4,2.6931113499121563e-06
6,0,5,3.3213688351836992e-06
6,0,6,4.656069792222339e-06
6,0,7,5.944842357530702e-06
6,0,8,6.597417912500617e-06
6,0,9,6.440886596035384e-06
6,0,10,5.863760176063666e-06
6,0,11,5.386850251177887e-06
6,0,12,5.319180570176698e-06
6,0,13,5.4393015390064785e-06
6,0,14,5.334503009544729e-06
6,0,15,4.789154698724369e-06
6,0,16,4.198414598055773e-06
6,0,17,4.2331380148932405e-06
6,0,18,5.392905666992524e-06
6,0,19,7.444592594740428e-06
6,0,20,9.683386596091262e-06
6,0,21,1.133400890984958e-05
6,0,22,1.2154135946851384e-05
6,0,23,1.2314676316021772e-05
6,0,24,1.2175417395594228e-05
6,0,25,1.1803073169523075e-05
6,0,26,1.1171602257523344e-05
6,0,27,1.0315010303203168e-05
6,0,28,9.595161970725832e-06
6,0,29,9.244572858245264e-06
6,0,30,9.160136096470221e-06
6,0,31,8.750994441812773e-06
6,0,32,7.619617212949203e-06
6,0,33,5.860924371541281e-06
6,0,34,4.197220613393494e-06
6,0,35,3.2099066198417034e-06
6,0,36,3.0031231737695356e-06
7,0,0,2.4954377667065744e-06
7,0,1,2.4020510312358997e-06
7,0,2,2.922806786852803e-07
7,0,3,-2.695218103470736e-06
7,0,4,-4.854028592970647e-06
7,0,5,-4.9978248006340075e-06
7,0,6,-3.20676231471188e-06
7,0,7,-7.021503383876106e-07
7,0,8,1.05821447263023e-06
7,0,9,1.4379661693598222e-06
7,0,10,9.720986926612247e-07
7,0,11,7.8781978382507e-07
7,0,12,1.5335190483939875e-06
7,0,13,2.885161527292881e-06
7,0,14,3.956927744029875e-06
7,0,15,4.250361662014188e-06
7,0,16,4.025410877104451e-06
7,0,17,3.941271338202376e-06
7,0,18,4.260727355183695e-06
7,0,19,4.629023238377991e-06
7,0,20,4.4715031192582556e-06
7,0,21,3.6435366016082324e-06
7,0,22,2.463469573159714e-06
7,0,23,1.40460444801014e-06
7,0,24,6.748251153624865e-07
7,0,25,3.7017394430670703e-07
7,0,26,5.829965717128432e-07
7,0,27,1.4104180291799718e-06
7,0,28,2.5250741977022836e-06
7,0,29,3.1896627226701032e-06
7,0,30,2.694309518250126e-06
7,0,31,1.2034106655088909e-06
7,0,32,-2.4794485767627383e-07
7,0,33,-4.2739653236136717e-07
7,0,34,9.583343996394893e-07
7,0,35,3.0970245013501414e-06
7,0,36,4.633036656657779e-06
8,0,0,9.766243383646842e-07
8,0,1,6.451558516075541e-07
8,0,2,-7.211105065058967e-08
8,0,3,-1.0917666649106693e-07
8,0,4,8.604521227404324e-07
8,0,5,1.9571336743553526e-06
8,0,6,2.036692815972105e-06
8,0,7,9.398186333764791e-07
8,0,8,-8.895037372655033e-08
8,0,9,4.0544405841755666e-07
8,0,10,2.6520129208170866e-06
8,0,11,5.183936887018372e-06
8,0,12,6.234050035471841e-06
8,0,13,5.375613625868984e-06
8,0,14,4.091394718701313e-06
8,0,15,4.31102459572851e-06
8,0,16,6.583719466896271e-06
8,0,17,9.34645372866025e-06
8,0,18,1.0389425888406869e-05
8,0,19,8.778932664276027e-06
8,0,20,5.780565056473985e-06
8,0,21,3.500986401704868e-06
8,0,22,3.020802113944975e-06
8,0,23,3.4412653407177372e-06
8,0,24,3.170477477347142e-06
8,0,25,1.6658718116501799e-06
8,0,26,2.536505500355002e-07
8,0,27,7.357017803349097e-07
8,0,28,3.6471247401591344e-06
8,0,29,7.429665967472506e-06
8,0,30,9.854848177803278e-06
8,0,31,9.767486481023749e-06
8,0,32,8.013837333509135e-06
8,0,33,6.255919381598671e-06
8,0,34,5.565790789832968e-06
8,0,35,5.572047749676521e-06
8,0,36,5.370794759069304e-06
9,0,0,8.71904862183591e-06
9,0,1,6.8332215159493895e-06
9,0,2,4.954141769456926e-06
9,0,3,3.903078017126999e-06
9,0,4,4.239323306553226e-06
9,0,5,5.896228773602898e-06
9,0,6,8.163420837945055e-06
9,0,7,1.0092550078621878e-05
9,0,8,1.0930621082559167e-05
9,0,9,1.0454988088253706e-05
9,0,10,8.985214069265335e-06
9,0,11,7.261482204714523e-06
9,0,12,6.063628915714157e-06
9,0,13,5.798411525575987e-06
9,0,14,6.204592593036108e-06
9,0,15,6.566304462087219e-06
9,0,16,6.2996617118311914e-06
9,0,17,5.591111122707628e-06
9,0,18,5.28803801593241e-06
9,0,19,6.115716041858732e-06
9,0,20,7.715301877767619e-06
9,0,21,8.66232452783472e-06
9,0,22,7.4949211219034494e-06
9,0,23,4.079406850757551e-06
9,0,24,-6.247846706505442e-08
9,0,25,-2.7146543693351273e-06
9,0,26,-2.6140746220598867e-06
9,0,27,-2.1521875944576468e-07
9,0,28,2.8339791664911117e-06
9,0,29,5.13595958559341e-06
9,0,30,6.412214957033692e-06
9,0,31,7.355641101198509e-06
9,0,32,8.566150918657344e-06
9,0,33,9.856985126586407e-06
9,0,34,1.0298993009872628e-05
9,0,35,9.114049452659478e-06
9,0,36,6.348735136287064e-06
10,0,0,-3.803130732476796e-06
10,0,1,-4.087646145282627e-06
10,0,2,-5.619799496412082e-06
10,0,3,-6.7547372151872086e-06
10,0,4,-5.952630542676977e-06
