level_0,level_1,level_2,control_data_Oz
8,0,13,-8.675194969450233e-06
8,0,14,-7.681307875691842e-06
8,0,15,-7.493248379223023e-06
8,0,16,-7.216230113254562e-06
8,0,17,-5.323168522604457e-06
8,0,18,-1.9104584055648502e-06
8,0,19,9.486764752574483e-07
8,0,20,6.593013138644824e-07
8,0,21,-3.0433221125911484e-06
8,0,22,-7.638388456277748e-06
8,0,23,-9.512592219702409e-06
8,0,24,-7.405628385944341e-06
8,0,25,-3.2215659782942896e-06
8,0,26,-5.555643921091968e-07
8,0,27,-1.3260496614075212e-06
8,0,28,-4.681412316768054e-06
8,0,29,-7.906515501909187e-06
8,0,30,-9.151284893900674e-06
8,0,31,-8.23949897948837e-06
8,0,32,-6.297721213906573e-06
8,0,33,-3.966394856420641e-06
8,0,34,-1.2677775164513755e-06
8,0,35,2.156060905076539e-06
8,0,36,5.860691904692044e-06
9,0,0,-1.1273736103893397e-07
9,0,1,-1.0890567117195177e-06
9,0,2,-1.6871876392932626e-06
9,0,3,-8.187453326302815e-07
9,0,4,1.2742334737386417e-06
9,0,5,2.9133424029461832e-06
9,0,6,2.4706509434319236e-06
9,0,7,2.8034458372818844e-07
9,0,8,-1.4824940301779696e-06
9,0,9,-8.817240217887649e-07
9,0,10,1.614634335468662e-06
9,0,11,3.3961012883462196e-06
9,0,12,2.0030984458742427e-06
9,0,13,-2.4200521144395073e-06
9,0,14,-7.0727518649436796e-06
9,0,15,-8.708068474036729e-06
9,0,16,-6.424920234408902e-06
9,0,17,-2.3354565548871684e-06
9,0,18,8.552201634410512e-08
9,0,19,-1.1541648918044642e-06
9,0,20,-5.201863027857437e-06
9,0,21,-9.150275718564549e-06
9,0,22,-1.040464209879215e-05
9,0,23,-8.297462896685493e-06
9,0,24,-4.165947455708085e-06
9,0,25,2.8526267640131084e-07
9,0,26,4.275763849413228e-06
9,0,27,8.016327893837583e-06
9,0,28,1.1456217350949976e-05
9,0,29,1.371172713757272e-05
9,0,30,1.3598831922357257e-05
9,0,31,1.1197994338970545e-05
9,0,32,8.262126480409896e-06
9,0,33,7.1295923742684315e-06
9,0,34,8.550479233318628e-06
9,0,35,1.1062364666255035e-05
9,0,36,1.2326223260927544e-05
10,0,0,9.762948466192161e-06
10,0,1,1.0383723720339664e-05
10,0,2,9.644220115670487e-06
10,0,3,8.739377647712864e-06
10,0,4,8.204225136449188e-06
10,0,5,7.449542428779115e-06
10,0,6,5.861522455266079e-06
10,0,7,3.9762537791347685e-06
10,0,8,3.327270000694617e-06
10,0,9,4.781238820520062e-06
10,0,10,7.2057934794972594e-06
10,0,11,7.995752212993832e-06
10,0,12,5.44597322844022e-06
10,0,13,5.451285768971379e-07
10,0,14,-3.688550405452778e-06
10,0,15,-4.852057172225708e-06
10,0,16,-3.166696889714477e-06
10,0,17,-9.265401924316705e-07
10,0,18,-7.881931882491308e-08
10,0,19,-5.040123671803835e-07
10,0,20,-6.761813993567156e-07
10,0,21,3.2751150262442787e-07
10,0,22,1.7243947042993408e-06
10,0,23,1.8710121645696407e-06
10,0,24,-1.0863933559216716e-08
10,0,25,-3.0212597716857266e-06
10,0,26,-5.4209806774609625e-06
10,0,27,-6.009196384597701e-06
10,0,28,-4.812217301917705e-06
10,0,29,-2.6887466847733094e-06
10,0,30,-6.650617805429393e-07
10,0,31,6.011780077184997e-07
10,0,32,9.383212412771672e-07
10,0,33,6.937142292061378e-07
10,0,34,5.408249388536894e-07
10,0,35,1.083339991736868e-06
10,0,36,2.4123848920903706e-06
11,0,0,3.927067577334196e-06
11,0,1,4.743583556518271e-06
11,0,2,5.945425889340055e-06
11,0,3,6.908551689038822e-06
11,0,4,7.101120824104111e-06
11,0,5,6.514169314621675e-06
11,0,6,5.324116216097826e-06
11,0,7,3.6637295670757743e-06
11,0,8,1.0842040117164272e-06
11,0,9,-2.88505584400696e-06
11,0,10,-8.029658903576937e-06
11,0,11,-1.2504130613586015e-05
11,0,12,-1.3721228083166895e-05
11,0,13,-1.0189069295791077e-05
11,0,14,-3.5970021225996624e-06
11,0,15,1.9338775306865946e-06
11,0,16,2.6098676633046772e-06
11,0,17,-1.6554577333618173e-06
11,0,18,-7.223075334279988e-06
11,0,19,-9.55892260809686e-06
11,0,20,-7.291486071575224e-06
