level_0,level_1,level_2,no_aud_data_Oz
6,0,15,-5.753682575476281e-06
6,0,16,-7.119594480761802e-06
6,0,17,-8.74429182955871e-06
6,0,18,-9.76550087216125e-06
6,0,19,-9.501509480899339e-06
6,0,20,-8.560172264196681e-06
6,0,21,-8.736606963012097e-06
6,0,22,-1.1430199253729717e-05
6,0,23,-1.5639256395146343e-05
6,0,24,-1.8121348963996003e-05
6,0,25,-1.593415823760119e-05
6,0,26,-9.588657992117596e-06
6,0,27,-3.22103665236997e-06
6,0,28,-1.2959370189788677e-06
6,0,29,-4.397234872198437e-06
6,0,30,-8.608500630581759e-06
6,0,31,-9.043728048866286e-06
6,0,32,-4.630062972736551e-06
6,0,33,1.047212315058938e-06
6,0,34,3.191117550416738e-06
6,0,35,5.438164033966021e-07
6,0,36,-3.747902939181259e-06
7,0,0,-3.4912737257409643e-06
7,0,1,-9.134313722512701e-06
7,0,2,-1.0917530179424659e-05
7,0,3,-8.62835235363211e-06
7,0,4,-4.860823609887787e-06
7,0,5,-2.4505549301010354e-06
7,0,6,-2.659168097641495e-06
7,0,7,-4.8270256948726345e-06
7,0,8,-7.65271991020396e-06
7,0,9,-9.976329750727186e-06
7,0,10,-1.11169176144718e-05
7,0,11,-1.0526004346009406e-05
7,0,12,-8.27650668325285e-06
7,0,13,-5.347910780638057e-06
7,0,14,-3.656849057655394e-06
7,0,15,-4.576207425067497e-06
7,0,16,-7.752575153988973e-06
7,0,17,-1.0984304553828081e-05
7,0,18,-1.2229199819888169e-05
7,0,19,-1.1132795937009838e-05
7,0,20,-9.21587793617886e-06
7,0,21,-7.757115351607878e-06
7,0,22,-6.450761525856501e-06
7,0,23,-3.847916071248852e-06
7,0,24,-5.77705643049857e-08
7,0,25,2.3197259342908993e-06
7,0,26,6.609205015170313e-09
7,0,27,-6.917022359019477e-06
7,0,28,-1.3877469088918997e-05
7,0,29,-1.4856335695554845e-05
7,0,30,-8.166630262896495e-06
7,0,31,1.452241325563156e-06
7,0,32,6.184952600355484e-06
7,0,33,2.0579156932552816e-06
7,0,34,-7.88379050315418e-06
7,0,35,-1.6271860173763483e-05
7,0,36,-1.817504553198882e-05
8,0,0,-7.093384298257667e-06
8,0,1,-6.548960761663849e-06
8,0,2,-5.839693126906723e-06
8,0,3,-6.9522823777389865e-06
8,0,4,-1.088251172250154e-05
8,0,5,-1.6177237798772567e-05
8,0,6,-1.974932849732158e-05
8,0,7,-1.8968929644676735e-05
8,0,8,-1.3897841770542287e-05
8,0,9,-7.301179102453276e-06
8,0,10,-2.983961939107059e-06
8,0,11,-3.030647576137316e-06
8,0,12,-6.625725753616179e-06
8,0,13,-1.0606873705713057e-05
8,0,14,-1.1977217396847415e-05
8,0,15,-9.951848335777941e-06
8,0,16,-6.653632689461225e-06
8,0,17,-5.33194587420312e-06
8,0,18,-8.046937847976576e-06
8,0,19,-1.3888758464921389e-05
8,0,20,-1.972790080182851e-05
8,0,21,-2.2217529807687245e-05
8,0,22,-2.0221229652911117e-05
8,0,23,-1.5041671801048094e-05
8,0,24,-9.447582265046718e-06
8,0,25,-5.541484361666952e-06
8,0,26,-3.994709609696039e-06
8,0,27,-4.10597391898798e-06
8,0,28,-5.09272293442261e-06
8,0,29,-6.445605782214264e-06
8,0,30,-8.077568902392965e-06
8,0,31,-9.641738286491307e-06
8,0,32,-1.083083204998943e-05
8,0,33,-1.143424614141503e-05
8,0,34,-1.1838054519061809e-05
8,0,35,-1.2267480088658331e-05
8,0,36,-1.2412536492199247e-05
9,0,0,-9.532761902105238e-06
9,0,1,-6.420203231017338e-06
9,0,2,-2.4461784074248375e-08
9,0,3,5.3164597257863305e-06
9,0,4,5.157735435663504e-06
9,0,5,-1.2349433929860536e-06
9,0,6,-1.0056955365847129e-05
9,0,7,-1.6165532237988442e-05
9,0,8,-1.703490004647374e-05
9,0,9,-1.4158958430907998e-05
9,0,10,-1.0763267506577333e-05
9,0,11,-8.840576760889242e-06
9,0,12,-8.126149744511018e-06
9,0,13,-7.57539466950699e-06
9,0,14,-6.848505392741491e-06
9,0,15,-6.1997489879801705e-06
9,0,16,-5.265128207851248e-06
9,0,17,-3.17685521808889e-06
9,0,18,-5.611148607211414e-09
9,0,19,2.114857520291321e-06
9,0,20,5.885563583823634e-07
9,0,21,-4.690834682018826e-06
9,0,22,-9.935658602249376e-06
9,0,23,-1.0172876651879422e-05
9,0,24,-3.7548376544866726e-06
9,0,25,5.462567869016048e-06
9,0,26,1.1086675096197798e-05
9,0,27,9.559441383882481e-06
9,0,28,3.049845918184178e-06
9,0,29,-3.024385341224414e-06
9,0,30,-4.892018551027678e-06
9,0,31,-3.289580175893644e-06
9,0,32,-1.5422010849464843e-06
9,0,33,-1.7481621658970548e-06
9,0,34,-2.8855566117972183e-06
9,0,35,-2.760861066448294e-06
9,0,36,-7.694569945731775e-07
10,0,0,7.86490866526825e-06
10,0,1,1.1319997598063162e-05
10,0,2,1.236493281120334e-05
10,0,3,8.55727497783154e-06
10,0,4,5.616875198053896e-07
10,0,5,-7.72261567047038e-06
10,0,6,-1.1765585252548904e-05
10,0,7,-9.960730097369923e-06
10,0,8,-5.124251478224082e-06
10,0,9,-2.2485252310069307e-06
10,0,10,-4.237543243496391e-06
10,0,11,-9.3062846212653e-06
10,0,12,-1.2672420605326748e-05
10,0,13,-1.1028527097270294e-05
10,0,14,-5.734248492399207e-06
10,0,15,-1.5616142496451061e-06
10,0,16,-2.2094144116627332e-06
10,0,17,-6.766297256816881e-06
10,0,18,-1.0619816179310024e-05
10,0,19,-9.857359838409121e-06
10,0,20,-4.969357979842207e-06
10,0,21,-2.690399736893149e-07
10,0,22,1.4374181987938386e-07
10,0,23,-3.891876680213051e-06
10,0,24,-8.607822511322012e-06
10,0,25,-9.74431037288994e-06
10,0,26,-6.144784948152078e-06
10,0,27,-2.8941315553469855e-07
10,0,28,4.121371300720554e-06
10,0,29,5.0434174069153865e-06
10,0,30,2.995984913546832e-06
10,0,31,-2.8266439210817528e-08
10,0,32,-2.0696221635341217e-06
10,0,33,-1.908680343396389e-06
10,0,34,7.236562504261963e-07
10,0,35,4.952439559147723e-06
10,0,36,8.613816445293893e-06
11,0,0,2.122914733974389e-06
11,0,1,4.8641538157374225e-06
11,0,2,6.847166616520532e-06
11,0,3,6.929683980648352e-06
11,0,4,5.087790926480343e-06
11,0,5,2.507553509607311e-06
11,0,6,7.729494542800273e-07
11,0,7,7.68348866212025e-07
11,0,8,2.163773602161442e-06
11,0,9,3.782527039195813e-06
11,0,10,4.437900199910069e-06
11,0,11,3.5729812757742587e-06
11,0,12,1.4932923699835572e-06
11,0,13,-7.780576313486527e-07
11,0,14,-1.8594930502021577e-06
11,0,15,-7.319333799314302e-07
11,0,16,2.3874463650972035e-06
11,0,17,5.6004509058382485e-06
11,0,18,6.285322254351484e-06
11,0,19,2.988620916735785e-06
11,0,20,-3.0442336081948476e-06
11,0,21,-8.35811018709071e-06
11,0,22,-9.629798439868514e-06
11,0,23,-6.212020618275114e-06
11,0,24,-5.471390604401006e-07
11,0,25,3.824880752896975e-06
11,0,26,5.096651223997044e-06
11,0,27,4.102005611646072e-06
11,0,28,2.902999629043502e-06
11,0,29,2.5254378136894707e-06
11,0,30,2.2232838422735603e-06
11,0,31,5.817254618987043e-07
11,0,32,-2.5888505137261074e-06
11,0,33,-5.880312616084703e-06
11,0,34,-7.367279723171586e-06
11,0,35,-6.186994234092446e-06
11,0,36,-2.9239118229319234e-06
12,0,0,-4.653362863101116e-07
12,0,1,-1.4585247517029249e-06
12,0,2,-2.526296194801795e-06
12,0,3,-3.864062512828968e-06
12,0,4,-5.109497291154187e-06
12,0,5,-5.527863405012352e-06
12,0,6,-4.586793215958113e-06
12,0,7,-2.6027372247365257e-06
12,0,8,-7.980169476238275e-07
12,0,9,-5.360374041469519e-07
12,0,10,-2.105848975136022e-06
12,0,11,-4.285857057966024e-06
12,0,12,-5.227074585164145e-06
12,0,13,-4.173094265181112e-06
12,0,14,-2.1964510196873134e-06
12,0,15,-1.3029707782587801e-06
12,0,16,-2.4168812520639966e-06
12,0,17,-4.433556816947561e-06
12,0,18,-5.216088252800899e-06
12,0,19,-3.934918335716885e-06
12,0,20,-2.1367097679175025e-06
12,0,21,-2.527724101504856e-06
12,0,22,-6.066908917455507e-06
12,0,23,-1.0461147914061662e-05
12,0,24,-1.1546485792839685e-05
12,0,25,-6.882932314301762e-06
12,0,26,1.973983337249358e-06
12,0,27,1.0244306184033767e-05
12,0,28,1.3605447223118648e-05
12,0,29,1.1244869696598418e-05
12,0,30,6.159061104799599e-06
12,0,31,2.281609920266325e-06
12,0,32,1.625628307587516e-06
12,0,33,3.230305494912795e-06
12,0,34,4.8809041618085144e-06
12,0,35,5.027648587541074e-06
12,0,36,3.674200034036487e-06
13,0,0,1.5824072997258198e-05
13,0,1,1.875858316210781e-05
13,0,2,1.741661716128315e-05
13,0,3,1.2293837973104235e-05
13,0,4,6.445599961448086e-06
13,0,5,3.5381025172394136e-06
13,0,6,4.997241996420427e-06
13,0,7,8.883772666696795e-06
13,0,8,1.1634368448192153e-05
13,0,9,1.1358288780769909e-05
13,0,10,9.398898831924777e-06
13,0,11,8.666744672151201e-06
13,0,12,1.0266338511613583e-05
13,0,13,1.1950035873987313e-05
13,0,14,1.002728037227549e-05
13,0,15,3.2710537685424644e-06
13,0,16,-5.315201712696092e-06
13,0,17,-1.049204599612647e-05
13,0,18,-9.093021934841153e-06
13,0,19,-2.5126108459213497e-06
13,0,20,4.526826591397845e-06
13,0,21,8.064349214806767e-06
13,0,22,7.749982002656637e-06
13,0,23,6.5178836910390644e-06
13,0,24,7.314893555164612e-06
13,0,25,1.049195577425071e-05
13,0,26,1.3538214463378702e-05
13,0,27,1.358247120382221e-05
13,0,28,9.808955074467956e-06
13,0,29,4.357763892946971e-06
13,0,30,6.72657789455866e-07
13,0,31,1.2688887370945602e-06
13,0,32,5.836170108177439e-06
13,0,33,1.1505477767519319e-05
13,0,34,1.445902474815435e-05
13,0,35,1.267136559145697e-05
13,0,36,7.199510690003791e-06
14,0,0,1.663199679796765e-05
14,0,1,1.2714183147462949e-05
14,0,2,1.3165573378232467e-05
14,0,3,1.9866177467963504e-05
14,0,4,2.8362148864003248e-05
14,0,5,3.0914077530266e-05
14,0,6,2.3080512235675184e-05
14,0,7,8.161361741909558e-06
14,0,8,-4.840241744479972e-06
14,0,9,-8.365845985341383e-06
14,0,10,-2.4837198367943212e-06
14,0,11,5.51978163497197e-06
14,0,12,7.56705423916957e-06
14,0,13,1.584568259169433e-06
14,0,14,-7.377699622226127e-06
14,0,15,-1.2136453914393913e-05
14,0,16,-9.617707253325091e-06
14,0,17,-2.6760814251655733e-06
14,0,18,3.346714997708275e-06
14,0,19,5.433980267326052e-06
14,0,20,4.5762001491097745e-06
14,0,21,3.510767471671364e-06
14,0,22,3.522647291642945e-06
14,0,23,3.771768444309285e-06
14,0,24,3.15296097292786e-06
14,0,25,2.188949689174252e-06
14,0,26,2.6884063518508347e-06
14,0,27,5.6373723895037145e-06
14,0,28,9.778306557753033e-06
14,0,29,1.2439929017833305e-05
14,0,30,1.1744466785259047e-05
14,0,31,8.11446601160006e-06
14,0,32,3.78857772563793e-06
14,0,33,1.0734588773516862e-06
14,0,34,9.615942105981588e-07
14,0,35,3.0895080732248057e-06
14,0,36,6.43503672602641e-06
15,0,0,1.4070959178333025e-06
15,0,1,4.5021982021026035e-06
15,0,2,5.042220148072132e-06
15,0,3,3.10612563306746e-06
15,0,4,-8.928973462654812e-07
15,0,5,-5.900835546234965e-06
15,0,6,-1.0134225309265407e-05
15,0,7,-1.14221236682534e-05
15,0,8,-8.734743590239338e-06
15,0,9,-3.194300781920377e-06
15,0,10,2.1618696659243797e-06
15,0,11,4.48343714511487e-06
15,0,12,3.0727842843994012e-06
15,0,13,-1.5860502125959522e-07
15,0,14,-2.7637796349897734e-06
15,0,15,-3.912902742839831e-06
15,0,16,-5.078099714591721e-06
15,0,17,-8.073943292659792e-06
15,0,18,-1.287957876322163e-05
15,0,19,-1.7122022364244194e-05
15,0,20,-1.8200569591679712e-05
15,0,21,-1.548639870973525e-05
15,0,22,-1.0887243277808549e-05
15,0,23,-6.876586223976107e-06
15,0,24,-4.531515946150063e-06
15,0,25,-3.2901902649486842e-06
15,0,26,-2.6346503029036375e-06
15,0,27,-3.0703595714883436e-06
15,0,28,-5.389338992516904e-06
15,0,29,-8.730546090229168e-06
15,0,30,-1.0435301529443657e-05
15,0,31,-8.165968150743738e-06
15,0,32,-2.663985509249631e-06
15,0,33,2.284553590861947e-06
15,0,34,2.9483395776929637e-06
15,0,35,-6.855221374567869e-07
15,0,36,-4.7125676039383565e-06
16,0,0,4.996756690040329e-06
16,0,1,1.0701939914125051e-05
16,0,2,1.2226854051118402e-05
16,0,3,8.881112576553411e-06
16,0,4,4.018664245306167e-06
16,0,5,1.741218173745545e-06
16,0,6,2.891083065485422e-06
16,0,7,4.81370596286775e-06
16,0,8,4.542708551914744e-06
16,0,9,2.2286860589836504e-06
16,0,10,6.155030042322333e-07
16,0,11,1.560666374252794e-06
16,0,12,3.4122342694045487e-06
16,0,13,2.726980023616161e-06
16,0,14,-1.6815231243072726e-06
16,0,15,-6.687164668221616e-06
16,0,16,-7.634743201458724e-06
16,0,17,-3.082531521162487e-06
16,0,18,3.375551437152384e-06
16,0,19,6.4985485609870175e-06
16,0,20,4.2796724939018105e-06
16,0,21,-3.8432440878456966e-07
16,0,22,-3.072605295839425e-06
16,0,23,-2.2261824019313025e-06
16,0,24,-1.4120785391564772e-07
16,0,25,3.1694753960697964e-07
16,0,26,-8.948918681761899e-07
16,0,27,-1.0451051067530005e-06
16,0,28,1.884569456594168e-06
16,0,29,6.631729873928871e-06
16,0,30,9.782320703628593e-06
16,0,31,9.572755658919074e-06
16,0,32,7.871890674298861e-06
16,0,33,8.321197798372398e-06
16,0,34,1.2365954355667594e-05
16,0,35,1.7532559547592838e-05
16,0,36,1.959251269090939e-05
17,0,0,8.411933356747899e-06
17,0,1,6.454336931481389e-06
17,0,2,2.104457311797367e-07
17,0,3,-6.9431721510745145e-06
17,0,4,-1.1271943535284227e-05
17,0,5,-1.1008890742568531e-05
17,0,6,-7.212755843442019e-06
17,0,7,-2.8293123672078338e-06
17,0,8,-8.264568473720545e-07
17,0,9,-2.316497046152551e-06
17,0,10,-5.767018678386041e-06
17,0,11,-7.866896456918066e-06
17,0,12,-5.791718008269078e-06
17,0,13,4.70450693417537e-07
17,0,14,7.602556547281242e-06
17,0,15,1.099361996250033e-05
17,0,16,8.189561171255053e-06
17,0,17,1.0538705439708926e-06
17,0,18,-5.492099162422666e-06
17,0,19,-7.299627140671045e-06
17,0,20,-4.249861076122873e-06
17,0,21,-5.554287423934915e-09
17,0,22,1.3712608256052927e-06
17,0,23,-1.0208729843052267e-06
17,0,24,-4.5479639761777805e-06
17,0,25,-5.772718663665929e-06
17,0,26,-3.6241876472365125e-06
17,0,27,-2.7592483731564468e-08
17,0,28,2.251323564347044e-06
17,0,29,2.1602785958693894e-06
17,0,30,8.478126018331399e-07
17,0,31,1.402191876853532e-07
17,0,32,8.287840624496292e-07
17,0,33,2.407319370323894e-06
17,0,34,4.004052303209748e-06
17,0,35,5.268233586607255e-06
17,0,36,6.224645132519603e-06
18,0,0,8.521383405981709e-07
18,0,1,5.684530781886998e-06
18,0,2,1.0939833172631756e-05
18,0,3,1.2730370698204197e-05
18,0,4,9.331900358023498e-06
18,0,5,2.6206631836766473e-06
18,0,6,-3.3138516794625913e-06
18,0,7,-5.200610471735491e-06
18,0,8,-2.8632463426323988e-06
18,0,9,8.8062880825257e-07
18,0,10,2.4172272238537064e-06
18,0,11,-1.563274077500575e-07
18,0,12,-5.861270707128877e-06
18,0,13,-1.1741455266357662e-05
18,0,14,-1.4803931337653564e-05
18,0,15,-1.3753964072152434e-05
18,0,16,-9.575238215694026e-06
18,0,17,-4.81267750624366e-06
18,0,18,-2.0047910155394634e-06
18,0,19,-2.2644141036836664e-06
18,0,20,-4.742434682793872e-06
18,0,21,-7.286371800892006e-06
18,0,22,-7.734693760289902e-06
18,0,23,-5.25494404982692e-06
18,0,24,-7.414468310779418e-07
18,0,25,3.7634000015346325e-06
18,0,26,6.28381758629445e-06
18,0,27,5.972943925244828e-06
18,0,28,3.5307272426938964e-06
18,0,29,8.844371354740522e-07
18,0,30,2.615637679677645e-07
18,0,31,2.9476714628750856e-06
18,0,32,8.400207423282151e-06
18,0,33,1.4261830286764802e-05
18,0,34,1.7665748864088187e-05
18,0,35,1.7096507035702568e-05
18,0,36,1.347401868839217e-05
19,0,0,3.058137053908028e-06
19,0,1,7.522435883627247e-06
19,0,2,8.51866729096386e-06
19,0,3,5.981190495727627e-06
19,0,4,2.7985301547697576e-06
19,0,5,2.0939975313995592e-06
19,0,6,4.175572092583545e-06
19,0,7,6.3563850782366095e-06
19,0,8,5.664626671941043e-06
19,0,9,1.9205281491539906e-06
19,0,10,-2.1931350019552368e-06
19,0,11,-3.8921076918707435e-06
19,0,12,-3.0623534714082766e-06
19,0,13,-1.873100364436028e-06
19,0,14,-2.017549225507106e-06
19,0,15,-2.686098418061225e-06
19,0,16,-1.905288110007168e-06
19,0,17,4.7593490107621374e-07
19,0,18,1.7473068770667628e-06
19,0,19,-9.836476384553704e-07
19,0,20,-7.2359661485771245e-06
19,0,21,-1.2694375080158932e-05
19,0,22,-1.3033072367337676e-05
19,0,23,-8.076942442433049e-06
19,0,24,-2.0766158140970883e-06
19,0,25,4.5942793579094285e-07
19,0,26,-1.101458308809281e-06
19,0,27,-3.464646630859324e-06
19,0,28,-3.367343429245515e-06
19,0,29,-9.244567219378029e-07
19,0,30,9.909820766881695e-07
19,0,31,4.1207936806268505e-07
19,0,32,-1.5364970978898492e-06
19,0,33,-2.182349304126192e-06
19,0,34,-6.755339300688754e-07
19,0,35,1.095919304094006e-06
19,0,36,9.112704128076568e-07
20,0,0,4.617071750222842e-07
20,0,1,7.206801563439726e-07
20,0,2,6.72356019109321e-07
20,0,3,1.6334328636386669e-06
20,0,4,4.778536893619773e-06
20,0,5,9.046759940449295e-06
20,0,6,1.1018284731584185e-05
20,0,7,7.63151995218761e-06
20,0,8,-7.02077897133535e-07
20,0,9,-9.718213695326277e-06
20,0,10,-1.4543884243073076e-05
20,0,11,-1.370494157940062e-05
20,0,12,-1.0109455766390348e-05
20,0,13,-7.993527952718032e-06
20,0,14,-8.807597027319996e-06
20,0,15,-1.0274580716521748e-05
20,0,16,-9.246855326182845e-06
20,0,17,-5.381443123196334e-06
20,0,18,-1.752150664021643e-06
20,0,19,-1.9051445917410897e-06
20,0,20,-6.275663420474728e-06
20,0,21,-1.1645729128580227e-05
20,0,22,-1.3844989213645294e-05
20,0,23,-1.1146722847686673e-05
20,0,24,-5.30185360445609e-06
20,0,25,1.8759178881146347e-07
20,0,26,2.6689022376806803e-06
20,0,27,1.4727468843643552e-06
20,0,28,-2.489146246063839e-06
20,0,29,-7.6117802788861866e-06
20,0,30,-1.1961414744269692e-05
20,0,31,-1.357658058844999e-05
20,0,32,-1.129664031858206e-05
20,0,33,-5.803694962276256e-06
20,0,34,5.980394778801189e-07
20,0,35,5.529593263960901e-06
