level_0,level_1,level_2,no_vis_no_aud_data_Oz
15,0,24,-7.072445547123558e-07
15,0,25,-3.1278210838047197e-06
15,0,26,-5.451947881124136e-06
15,0,27,-7.81270366860857e-06
15,0,28,-9.900215956991029e-06
15,0,29,-1.0674431700763204e-05
15,0,30,-8.295457642737143e-06
15,0,31,-2.1854883341866665e-06
15,0,32,6.272907287689406e-06
15,0,33,1.3768270060226617e-05
15,0,34,1.7635796656527316e-05
15,0,35,1.7106381965523686e-05
15,0,36,1.3947874166225999e-05
16,0,0,1.208687481087632e-05
16,0,1,6.497359669495144e-06
16,0,2,-4.3310061036747383e-07
16,0,3,-4.695129316064592e-06
16,0,4,-4.541001248435135e-06
16,0,5,-1.5802070501105044e-06
16,0,6,4.3068726614035774e-07
16,0,7,-1.624873608872739e-06
16,0,8,-7.9942002512116e-06
16,0,9,-1.558939425687334e-05
16,0,10,-2.0002585668155333e-05
16,0,11,-1.8410495523892272e-05
16,0,12,-1.162583374978354e-05
16,0,13,-3.5561414354231787e-06
16,0,14,1.3979038366444512e-06
16,0,15,1.365556929498129e-06
16,0,16,-1.9951056244170196e-06
16,0,17,-4.950176736295993e-06
16,0,18,-4.709681959105572e-06
16,0,19,-1.1424279534526607e-06
16,0,20,3.620715560211286e-06
16,0,21,7.410152576456256e-06
16,0,22,9.645539974401367e-06
16,0,23,1.136739536945552e-05
16,0,24,1.3546829197322264e-05
16,0,25,1.5789960397071543e-05
16,0,26,1.641049190663534e-05
16,0,27,1.4236571071935011e-05
16,0,28,9.993183051600052e-06
16,0,29,6.168607161331655e-06
16,0,30,4.6951715166193835e-06
16,0,31,4.979250008163973e-06
16,0,32,3.875617461288235e-06
16,0,33,-1.417202405008942e-06
16,0,34,-1.0306202756379956e-05
16,0,35,-1.7872230357914866e-05
16,0,36,-1.8043081486773956e-05
17,0,0,9.807673050717233e-06
17,0,1,8.739406023947982e-06
17,0,2,7.17598315311198e-06
17,0,3,4.353180403379617e-06
17,0,4,1.4419181057968543e-06
17,0,5,3.114776337527014e-07
17,0,6,1.4078064151049147e-06
17,0,7,2.8473383705666412e-06
17,0,8,2.6602769535984198e-06
17,0,9,1.2750943104866973e-06
17,0,10,1.7433709477367203e-06
17,0,11,6.502195998593359e-06
17,0,12,1.4411853259047166e-05
17,0,13,2.0678162708273715e-05
17,0,14,2.088482319066037e-05
17,0,15,1.4771618809407481e-05
17,0,16,6.936687089956358e-06
17,0,17,2.8726499722920348e-06
17,0,18,4.7269423498130184e-06
17,0,19,9.716626081351205e-06
17,0,20,1.3211062665914185e-05
17,0,21,1.2566268747728595e-05
17,0,22,9.257903867984619e-06
17,0,23,6.723788929014114e-06
17,0,24,7.23324785077196e-06
17,0,25,9.777290834054957e-06
17,0,26,1.1648476530216282e-05
17,0,27,1.0928001010183258e-05
17,0,28,8.557826495426914e-06
17,0,29,6.968731862958249e-06
17,0,30,7.970984125310317e-06
17,0,31,1.079620576718756e-05
17,0,32,1.3413552569334244e-05
17,0,33,1.4418800343480708e-05
17,0,34,1.470635783421036e-05
17,0,35,1.5919062080518333e-05
17,0,36,1.8545017795842402e-05
18,0,0,-1.0832343266408415e-05
18,0,1,-7.323370045911445e-06
18,0,2,-1.7475446189853488e-06
18,0,3,3.3602439134976844e-06
18,0,4,6.668445811788674e-06
18,0,5,8.441538501125401e-06
18,0,6,9.329759771261508e-06
18,0,7,8.816991743931422e-06
18,0,8,5.629952367818203e-06
18,0,9,-4.440022687727224e-07
18,0,10,-7.044585905003709e-06
18,0,11,-1.045997866765564e-05
18,0,12,-8.460007064612686e-06
18,0,13,-2.5370480594274293e-06
18,0,14,3.169658932103349e-06
18,0,15,4.957616403067355e-06
18,0,16,2.429726227827481e-06
18,0,17,-1.6751241013891857e-06
18,0,18,-3.7975122379234013e-06
18,0,19,-2.1952326605666634e-06
18,0,20,2.4863870209964847e-06
18,0,21,8.113240012723802e-06
18,0,22,1.2718269325319963e-05
18,0,23,1.4923846396879795e-05
18,0,24,1.4158719779494696e-05
18,0,25,1.0647738394666288e-05
18,0,26,5.660429535728759e-06
18,0,27,8.074615045456531e-07
18,0,28,-2.846043431990961e-06
18,0,29,-5.635037170872645e-06
18,0,30,-8.424763053000166e-06
18,0,31,-1.1223474742915102e-05
18,0,32,-1.222659939259811e-05
18,0,33,-9.397327225056694e-06
18,0,34,-2.8047620125591676e-06
18,0,35,4.1589654466774744e-06
18,0,36,7.07396549469181e-06
19,0,0,2.5510902940341682e-06
19,0,1,6.26610062923991e-06
19,0,2,1.1171116951143247e-05
19,0,3,1.5111292530112599e-05
19,0,4,1.636400144717099e-05
19,0,5,1.4881884493501995e-05
19,0,6,1.2127499393224704e-05
19,0,7,9.687221025811074e-06
19,0,8,8.388752883039456e-06
19,0,9,8.248372009931086e-06
19,0,10,9.191681738772342e-06
19,0,11,1.1130256627764649e-05
19,0,12,1.3763546508473103e-05
19,0,13,1.617801487105734e-05
19,0,14,1.7371450926124314e-05
