level_0,level_1,level_2,no_vis_data_Oz
12,0,1,3.6164503937942958e-06
12,0,2,9.201409694247463e-06
12,0,3,1.0416035520989975e-05
12,0,4,5.713777221548775e-06
12,0,5,-3.0813255311699656e-06
12,0,6,-1.1541277662301846e-05
12,0,7,-1.5141343690698496e-05
12,0,8,-1.209664132892737e-05
12,0,9,-4.413308190403441e-06
12,0,10,3.2482149010490977e-06
12,0,11,6.270902761336828e-06
12,0,12,2.643958071820278e-06
12,0,13,-5.950799184118198e-06
12,0,14,-1.5219277929056849e-05
12,0,15,-2.0848596197159527e-05
12,0,16,-2.1006250193901358e-05
12,0,17,-1.6948879308702485e-05
12,0,18,-1.178376423291883e-05
12,0,19,-8.239626308748516e-06
12,0,20,-7.312224733871961e-06
12,0,21,-8.395892052756875e-06
12,0,22,-1.0342824106789365e-05
12,0,23,-1.2192809117338567e-05
12,0,24,-1.3278689782562697e-05
12,0,25,-1.3052406042198179e-05
12,0,26,-1.1322537634904123e-05
12,0,27,-8.669833316204446e-06
12,0,28,-6.3416243428047634e-06
12,0,29,-5.235164722555908e-06
12,0,30,-5.12036720819387e-06
12,0,31,-5.021902763727534e-06
12,0,32,-4.489986962256758e-06
12,0,33,-4.341872109887146e-06
12,0,34,-5.9518436478492775e-06
12,0,35,-9.54298243991818e-06
12,0,36,-1.3594053073325051e-05
13,0,0,-2.9133620480320343e-06
13,0,1,2.7578142591519537e-06
13,0,2,9.428245679803126e-06
13,0,3,1.251426893307669e-05
13,0,4,8.935755746645937e-06
13,0,5,7.044587723993139e-07
13,0,6,-6.172525264565277e-06
13,0,7,-6.852188482540673e-06
13,0,8,-2.0321522545553144e-06
13,0,9,3.0106739807951106e-06
13,0,10,3.593007985607839e-06
13,0,11,-6.046164548079431e-08
13,0,12,-3.89007551687882e-06
13,0,13,-4.603814591454372e-06
13,0,14,-2.9835193789785815e-06
13,0,15,-2.2162090647819867e-06
13,0,16,-3.974611595476777e-06
13,0,17,-6.427421708673933e-06
13,0,18,-6.722028147245244e-06
13,0,19,-4.319678256045888e-06
13,0,20,-1.6707938151505782e-06
13,0,21,-9.371515401237872e-07
13,0,22,-1.3214111474098899e-06
13,0,23,3.022619511759874e-07
13,0,24,5.38025714208755e-06
13,0,25,1.151767154506663e-05
13,0,26,1.4092339761999839e-05
13,0,27,1.088984443269438e-05
13,0,28,4.278623300798211e-06
13,0,29,-6.444048363463741e-07
13,0,30,-8.379438565760865e-07
13,0,31,2.616120985169369e-06
13,0,32,5.9302140445294076e-06
13,0,33,6.700508774684871e-06
13,0,34,5.564618996841742e-06
13,0,35,5.153850074239634e-06
13,0,36,6.774446329466197e-06
14,0,0,-3.7468668428015603e-06
14,0,1,1.4851714007209447e-06
14,0,2,7.414447574299909e-06
14,0,3,9.008361801164026e-06
14,0,4,4.3042896054625815e-06
14,0,5,-3.591691401057934e-06
14,0,6,-8.909679441763897e-06
14,0,7,-8.05174798362699e-06
14,0,8,-2.127785987669672e-06
14,0,9,4.551941014668956e-06
14,0,10,8.372187710092404e-06
14,0,11,8.601974824100356e-06
14,0,12,6.649317318935949e-06
14,0,13,3.7250258729098487e-06
14,0,14,5.086716403948922e-08
14,0,15,-4.243738357699302e-06
14,0,16,-7.884705818635683e-06
14,0,17,-9.03529594146156e-06
14,0,18,-6.978420528261668e-06
14,0,19,-3.278402122044408e-06
14,0,20,-6.133656916512185e-07
