level_0,level_1,level_2,no_vis_no_aud_data_Fz
5,0,34,6.755727473033255e-06
5,0,35,5.104910163607971e-06
5,0,36,3.493687888513324e-06
6,0,0,-1.296981391760476e-06
6,0,1,-2.2554748620256756e-06
6,0,2,-7.42825079369546e-07
6,0,3,1.7293998356167199e-06
6,0,4,3.091311783144239e-06
6,0,5,2.5952639066606964e-06
6,0,6,1.2199573757132215e-06
6,0,7,5.458597651735238e-07
6,0,8,1.0771916255623249e-06
6,0,9,1.8787610595442136e-06
6,0,10,1.4810271061516212e-06
6,0,11,-5.931754091930868e-07
6,0,12,-3.4864697746546153e-06
6,0,13,-5.668264287004459e-06
6,0,14,-6.243484769850741e-06
6,0,15,-5.338181006173505e-06
6,0,16,-3.803029960462338e-06
6,0,17,-2.369755783389408e-06
6,0,18,-1.4804437562412114e-06
6,0,19,-1.2811426322425546e-06
6,0,20,-1.917902801708732e-06
6,0,21,-3.2128948556783767e-06
6,0,22,-4.642509226016837e-06
6,0,23,-5.36000196718148e-06
6,0,24,-5.015218341367778e-06
6,0,25,-4.0717121616680116e-06
6,0,26,-3.7873746460284977e-06
6,0,27,-5.128180859192174e-06
6,0,28,-8.108689628764086e-06
6,0,29,-1.154168438833854e-05
6,0,30,-1.4050227973892953e-05
6,0,31,-1.477922800599378e-05
6,0,32,-1.3952235375284928e-05
6,0,33,-1.2265242004062859e-05
6,0,34,-1.0529113362744275e-05
6,0,35,-9.11444308197227e-06
6,0,36,-8.26016415461211e-06
7,0,0,4.5071582224821024e-06
7,0,1,4.07810118014423e-06
7,0,2,2.817506762005023e-06
7,0,3,1.6241296421956028e-06
7,0,4,1.305221504830796e-06
7,0,5,1.8646713493133347e-06
7,0,6,2.5603094781655362e-06
7,0,7,2.679302855447256e-06
7,0,8,2.161012558104657e-06
7,0,9,1.6738846419911402e-06
7,0,10,2.015417006096497e-06
7,0,11,3.4984903844081287e-06
7,0,12,5.57368447636622e-06
7,0,13,7.130530245218875e-06
7,0,14,7.113494317807171e-06
7,0,15,5.310421408472342e-06
7,0,16,2.5546311388598733e-06
7,0,17,3.393729280653915e-07
7,0,18,-2.937098586809427e-07
7,0,19,5.230527754699292e-07
7,0,20,1.5126622427337296e-06
7,0,21,1.4088360540721347e-06
7,0,22,-4.3593588056171335e-08
7,0,23,-1.8108152559474517e-06
7,0,24,-2.6365036712345277e-06
7,0,25,-2.089257426842226e-06
7,0,26,-9.6933410157505e-07
7,0,27,-3.0565311590891777e-07
7,0,28,-4.0130785835119955e-07
7,0,29,-4.363519630252908e-07
7,0,30,5.933032386753258e-07
7,0,31,2.969956084288933e-06
7,0,32,5.8398750258497885e-06
7,0,33,8.112584448932995e-06
7,0,34,9.244043896118831e-06
7,0,35,9.648146222457604e-06
7,0,36,9.881589505221164e-06
8,0,0,-2.000480738184593e-06
8,0,1,-2.7489050308195686e-06
8,0,2,-3.371105099388101e-06
8,0,3,-3.4055262001821943e-06
8,0,4,-2.7626398562125275e-06
8,0,5,-1.7025426385721022e-06
8,0,6,-6.700294406780469e-07
8,0,7,-7.750608803677071e-08
8,0,8,-2.288300527190145e-07
8,0,9,-1.144356809844923e-06
8,0,10,-2.432065448235298e-06
8,0,11,-3.3015338468361094e-06
8,0,12,-3.0516327115019063e-06
8,0,13,-1.6840258718649052e-06
8,0,14,-1.791933440798891e-07
8,0,15,1.4996554905977566e-07
8,0,16,-1.2860701836607164e-06
8,0,17,-3.6809270207489202e-06
8,0,18,-5.349802529645934e-06
8,0,19,-5.046840381225985e-06
8,0,20,-3.0416455500329175e-06
8,0,21,-9.052624726171599e-07
8,0,22,-2.029644777625162e-07
8,0,23,-1.1814375460350425e-06
8,0,24,-2.6772410309276132e-06
8,0,25,-3.1994612549351336e-06
8,0,26,-2.204374719546172e-06
8,0,27,-4.0139994469112625e-07
8,0,28,1.0313780120651219e-06
8,0,29,1.4699709245942388e-06
8,0,30,1.1014356623908694e-06
8,0,31,4.548872834246805e-07
8,0,32,-1.7739512523479942e-07
8,0,33,-7.876169665035524e-07
8,0,34,-1.3309391959465824e-06
8,0,35,-1.6072577876305433e-06
8,0,36,-1.5800527998067852e-06
9,0,0,-5.038823731007221e-06
9,0,1,-6.439816302654389e-06
9,0,2,-7.985363600557498e-06
9,0,3,-9.269858266522856e-06
9,0,4,-9.667359116419911e-06
9,0,5,-8.738739546220592e-06
9,0,6,-6.883818525952375e-06
9,0,7,-5.242336270285192e-06
9,0,8,-4.8926330056573515e-06
9,0,9,-5.783914179813699e-06
9,0,10,-6.70750315284361e-06
9,0,11,-6.290141848746937e-06
9,0,12,-4.3272998217603156e-06
9,0,13,-1.9957031624449884e-06
9,0,14,-8.795295929396276e-07
9,0,15,-1.520496630211543e-06
9,0,16,-3.0488922220256876e-06
9,0,17,-3.9660648917379205e-06
9,0,18,-3.521690867000309e-06
9,0,19,-2.2178245092953477e-06
9,0,20,-1.2903910111542846e-06
9,0,21,-1.5427520568450285e-06
9,0,22,-2.798081955774045e-06
9,0,23,-4.089528799343351e-06
9,0,24,-4.527048144310498e-06
9,0,25,-3.853601140815408e-06
9,0,26,-2.5632442357129484e-06
9,0,27,-1.3918995344328156e-06
9,0,28,-8.793364162620925e-07
9,0,29,-1.0221252675787583e-06
9,0,30,-1.4977640826503979e-06
9,0,31,-1.9663866916901307e-06
9,0,32,-2.4858185867994063e-06
9,0,33,-3.4299432229055937e-06
9,0,34,-5.20332549535968e-06
9,0,35,-7.667711293495613e-06
9,0,36,-1.0055700990735752e-05
10,0,0,5.192616740783552e-06
10,0,1,4.629735190841148e-06
10,0,2,5.9578881497273305e-06
10,0,3,7.936459705916562e-06
10,0,4,8.933212799421887e-06
10,0,5,8.25364271370534e-06
10,0,6,6.450140886662763e-06
10,0,7,4.4530618406124305e-06
10,0,8,2.7171090955717907e-06
10,0,9,1.122699375986764e-06
10,0,10,-3.292083014400748e-07
10,0,11,-1.1432581402288098e-06
10,0,12,-6.330911313603473e-07
10,0,13,1.3001245145471691e-06
10,0,14,3.995562715739014e-06
10,0,15,6.495645453855699e-06
10,0,16,8.366593953795267e-06
10,0,17,9.779132378954548e-06
10,0,18,1.1032228376963782e-05
10,0,19,1.1895822712996193e-05
10,0,20,1.1784304836577619e-05
10,0,21,1.0365298812598715e-05
10,0,22,8.223288873278182e-06
10,0,23,6.53282123224357e-06
10,0,24,6.246662180588202e-06
10,0,25,7.204914543804369e-06
10,0,26,8.319669847250651e-06
10,0,27,8.307630320007059e-06
10,0,28,6.719780603904732e-06
10,0,29,4.05185570924514e-06
10,0,30,1.3904607137931707e-06
10,0,31,-4.3730706890058983e-07
10,0,32,-1.1446401174487468e-06
10,0,33,-1.0396828811591732e-06
10,0,34,-5.161418889260572e-07
10,0,35,8.921803233692865e-08
10,0,36,6.326087353633387e-07
11,0,0,-3.858067851261315e-06
11,0,1,-2.6388679936964878e-06
11,0,2,4.079633133042724e-07
11,0,3,2.9138882816743216e-06
11,0,4,3.0055800827935157e-06
11,0,5,9.673829625622622e-07
11,0,6,-8.695184208101542e-07
11,0,7,-1.6208527099989173e-07
11,0,8,3.3436219880803963e-06
11,0,9,7.381926953662959e-06
11,0,10,9.012868529377407e-06
11,0,11,7.107071829925429e-06
11,0,12,3.3921719073781275e-06
11,0,13,9.330368950821833e-07
11,0,14,1.5119373754456152e-06
11,0,15,4.114033133559422e-06
11,0,16,5.956274706102343e-06
11,0,17,5.000845778280433e-06
11,0,18,1.771642045265783e-06
11,0,19,-1.2438419802302694e-06
11,0,20,-1.8181883477056521e-06
11,0,21,7.278594120409693e-08
11,0,22,2.407210049059112e-06
11,0,23,2.9496492500830323e-06
11,0,24,1.1237191014615869e-06
11,0,25,-1.76882534013242e-06
11,0,26,-3.827254170306088e-06
11,0,27,-4.172287361469676e-06
11,0,28,-3.309345678844983e-06
11,0,29,-2.3300017693825325e-06
11,0,30,-1.8166080096883026e-06
11,0,31,-1.646581428738127e-06
11,0,32,-1.5584932275799953e-06
11,0,33,-1.7730921436398978e-06
11,0,34,-2.754738711822609e-06
11,0,35,-4.515801332660783e-06
11,0,36,-6.203744216365652e-06
12,0,0,2.979497229549526e-06
12,0,1,5.416682405436334e-06
12,0,2,7.697579827542673e-06
12,0,3,8.344241484075656e-06
12,0,4,6.8735805258409e-06
12,0,5,4.157100982511057e-06
12,0,6,1.6698306602470485e-06
12,0,7,5.493498147193779e-07
12,0,8,9.239629572568527e-07
12,0,9,2.1160047569252323e-06
12,0,10,3.1677842815961202e-06
12,0,11,3.5035620907386696e-06
12,0,12,3.0647949190220963e-06
12,0,13,2.262733357449745e-06
12,0,14,1.5374391525159833e-06
12,0,15,1.157141758957196e-06
12,0,16,9.670040670638577e-07
12,0,17,6.395320819848107e-07
12,0,18,-1.3617737043307898e-07
12,0,19,-1.2675286786972625e-06
12,0,20,-2.367313426280873e-06
12,0,21,-2.829120281923957e-06
12,0,22,-2.283335231741297e-06
12,0,23,-6.718833092310306e-07
12,0,24,1.5330826728295743e-06
12,0,25,3.5902587649823533e-06
12,0,26,4.569669613255852e-06
12,0,27,3.840043121195109e-06
12,0,28,1.2747939043822253e-06
12,0,29,-2.3659086207435814e-06
12,0,30,-5.821150712448554e-06
12,0,31,-7.789309281743082e-06
12,0,32,-7.842274615984775e-06
12,0,33,-6.5311608586912716e-06
12,0,34,-5.221412434864415e-06
12,0,35,-5.110979039944395e-06
12,0,36,-6.775231405304466e-06
13,0,0,-3.331182283162061e-06
13,0,1,-5.676999801846217e-06
13,0,2,-5.831136236827055e-06
13,0,3,-3.977355359133971e-06
13,0,4,-1.8580160307844691e-06
13,0,5,-1.2885228180595346e-06
13,0,6,-2.6022726548359374e-06
13,0,7,-4.449563560139403e-06
13,0,8,-5.038808087698117e-06
13,0,9,-3.695460746299821e-06
13,0,10,-1.3455320386539794e-06
13,0,11,2.9740092929625166e-07
13,0,12,1.6981358865653037e-07
13,0,13,-1.4871665592779541e-06
13,0,14,-3.525617701383198e-06
13,0,15,-4.9824325120718395e-06
13,0,16,-5.672498894399014e-06
13,0,17,-6.019173541624821e-06
13,0,18,-6.288458192129926e-06
13,0,19,-6.274249701889226e-06
13,0,20,-5.533918457029102e-06
13,0,21,-4.070974743352826e-06
13,0,22,-2.463766614133739e-06
13,0,23,-1.4530608712511357e-06
13,0,24,-1.1685412747696136e-06
13,0,25,-1.1050364429183144e-06
13,0,26,-6.784114803986936e-07
13,0,27,-7.22675917441231e-08
13,0,28,-8.82630856232048e-08
13,0,29,-1.3254320235463437e-06
13,0,30,-3.220329793077219e-06
13,0,31,-4.397217046102017e-06
13,0,32,-3.8616079684912475e-06
13,0,33,-2.2267308272446438e-06
13,0,34,-1.262084716179739e-06
13,0,35,-2.3635555760160914e-06
13,0,36,-5.0130744804248125e-06
14,0,0,6.333607692585999e-06
14,0,1,3.7315036580702827e-06
14,0,2,3.7089845689188244e-06
14,0,3,6.367215341306705e-06
14,0,4,9.758870291888642e-06
14,0,5,1.1805136631133206e-05
14,0,6,1.2239770331267568e-05
14,0,7,1.2420471651691518e-05
14,0,8,1.3575541581687203e-05
14,0,9,1.534336211205813e-05
14,0,10,1.6369368193587183e-05
14,0,11,1.5999330446114096e-05
14,0,12,1.532474293624599e-05
14,0,13,1.6063280293729604e-05
14,0,14,1.8678997281346425e-05
14,0,15,2.1474181586957444e-05
14,0,16,2.1997811891571605e-05
14,0,17,1.9164016988709818e-05
14,0,18,1.4355314701967902e-05
14,0,19,1.0176954826182942e-05
14,0,20,8.449270661397212e-06
14,0,21,8.93301416577606e-06
14,0,22,1.0106295090355649e-05
14,0,23,1.0634982913182791e-05
14,0,24,1.0446681854917581e-05
14,0,25,1.0181778786153028e-05
14,0,26,1.0298382557019702e-05
14,0,27,1.0478087798831428e-05
14,0,28,1.0257033289282145e-05
14,0,29,9.58221804193732e-06
14,0,30,9.045620525469935e-06
14,0,31,9.133295816027309e-06
14,0,32,9.792811179473043e-06
14,0,33,1.0315457774603108e-05
14,0,34,1.0126089333339992e-05
14,0,35,9.129268573427848e-06
14,0,36,7.856309938431678e-06
15,0,0,-5.651132316950816e-06
15,0,1,-4.529376814579617e-06
15,0,2,-1.472103507802734e-06
15,0,3,1.8292197910067776e-06
15,0,4,3.356059874009301e-06
15,0,5,2.362257908956265e-06
15,0,6,-2.4531573582794677e-07
15,0,7,-2.6593789185165074e-06
15,0,8,-3.665846506975166e-06
15,0,9,-3.2192271216843586e-06
15,0,10,-2.1807904301841244e-06
15,0,11,-1.2529378368782393e-06
15,0,12,-5.72742337120699e-07
15,0,13,2.1499147671640485e-07
15,0,14,1.255033130803406e-06
15,0,15,2.322771286395695e-06
15,0,16,2.858429840518978e-06
15,0,17,2.538108712164442e-06
15,0,18,1.4036100974378746e-06
15,0,19,3.61333382825329e-08
15,0,20,-8.490058588996469e-07
15,0,21,-6.514029889081816e-07
15,0,22,6.021063744491682e-07
15,0,23,2.3569719256707935e-06
15,0,24,3.7264337707291725e-06
15,0,25,4.267992035171829e-06
15,0,26,4.181638422334766e-06
15,0,27,4.230655094320402e-06
15,0,28,4.824439819498021e-06
15,0,29,5.6357935066779095e-06
15,0,30,5.5645917120002825e-06
15,0,31,3.7577491289693724e-06
15,0,32,2.5052670853677185e-07
15,0,33,-3.7305887063866653e-06
15,0,34,-6.715164736325512e-06
15,0,35,-7.775215751634399e-06
15,0,36,-7.248973378197823e-06
16,0,0,-5.3109823848127545e-06
16,0,1,-3.799948228568929e-06
16,0,2,-2.783759778693929e-06
16,0,3,-2.0699492178337527e-06
16,0,4,-1.4398987546804172e-06
16,0,5,-9.813357938384846e-07
16,0,6,-1.0105732295025805e-06
16,0,7,-1.6284988548080263e-06
16,0,8,-2.5470866982973056e-06
16,0,9,-3.403108035633087e-06
16,0,10,-4.2287811714089454e-06
16,0,11,-5.353371023110985e-06
16,0,12,-6.838292858482044e-06
16,0,13,-8.023428500979072e-06
16,0,14,-7.99817874489432e-06
16,0,15,-6.560805293240476e-06
16,0,16,-4.7790662195440925e-06
16,0,17,-4.295866229207123e-06
16,0,18,-6.025430137670488e-06
16,0,19,-9.373297647082023e-06
16,0,20,-1.2849712411961887e-05
16,0,21,-1.5301874601123845e-05
16,0,22,-1.663594618781948e-05
16,0,23,-1.730717657079438e-05
16,0,24,-1.7478193591489543e-05
16,0,25,-1.675185947029828e-05
16,0,26,-1.4887251239918188e-05
16,0,27,-1.2422108742179104e-05
