level_0,level_1,level_2,no_vis_data_Fz
5,0,11,6.900919209387811e-06
5,0,12,6.949433840290587e-06
5,0,13,6.935733939494697e-06
5,0,14,7.372850923999784e-06
5,0,15,8.119637034753515e-06
5,0,16,8.695268609211124e-06
5,0,17,8.800903873810973e-06
5,0,18,8.807291437095647e-06
5,0,19,9.220434868500527e-06
5,0,20,1.0122051176803947e-05
5,0,21,1.0877585171527565e-05
5,0,22,1.0941083182168499e-05
5,0,23,1.040823132873671e-05
5,0,24,1.0048027765721494e-05
5,0,25,1.0238968541448465e-05
5,0,26,1.0469446143844291e-05
5,0,27,9.640724745580548e-06
5,0,28,7.507243683902451e-06
5,0,29,5.1841166031741206e-06
5,0,30,4.498530028016753e-06
5,0,31,6.069880054791532e-06
5,0,32,8.613373339468587e-06
5,0,33,9.759653912535366e-06
5,0,34,8.347541130902857e-06
5,0,35,5.3852302591909495e-06
5,0,36,3.27033781430256e-06
6,0,0,4.421926926123751e-06
6,0,1,2.4740675512795152e-06
6,0,2,2.2720327590150047e-06
6,0,3,2.8495000576060268e-06
6,0,4,3.130504457012816e-06
6,0,5,2.7995053150035295e-06
6,0,6,2.2410348144304533e-06
6,0,7,1.8970762822224945e-06
6,0,8,1.7843091238629497e-06
6,0,9,1.7335434935397426e-06
6,0,10,1.8577600989715766e-06
6,0,11,2.673833881825061e-06
6,0,12,4.502982186547214e-06
6,0,13,6.893208149393395e-06
6,0,14,8.703213955044207e-06
6,0,15,9.030778299311596e-06
6,0,16,8.002670921192256e-06
6,0,17,6.767913974622844e-06
6,0,18,6.494188807119633e-06
6,0,19,7.44455475976027e-06
6,0,20,8.809045670502566e-06
6,0,21,9.621813076267957e-06
6,0,22,9.663670205854551e-06
6,0,23,9.704174007304741e-06
6,0,24,1.0718350836768384e-05
6,0,25,1.2974336471026186e-05
6,0,26,1.5569827751365714e-05
6,0,27,1.7015768643237924e-05
6,0,28,1.6224416563837473e-05
6,0,29,1.3422663523594489e-05
6,0,30,1.0057118347300115e-05
6,0,31,7.937132004410131e-06
6,0,32,7.9031656509737e-06
6,0,33,9.26778971174232e-06
6,0,34,1.025959733678359e-05
6,0,35,9.46114465024165e-06
6,0,36,6.850699821590628e-06
7,0,0,2.6436794026395025e-06
7,0,1,3.0654497552171306e-06
7,0,2,2.1405078178487016e-06
7,0,3,8.118942908386779e-07
7,0,4,1.714671978418833e-07
7,0,5,5.636068265031409e-07
7,0,6,1.2364892611536923e-06
7,0,7,1.0892867229330235e-06
7,0,8,-3.416004625221666e-07
7,0,9,-2.3733750266595742e-06
7,0,10,-3.870354397269589e-06
7,0,11,-4.205364229074518e-06
7,0,12,-3.84484779987723e-06
7,0,13,-3.6920672396179987e-06
7,0,14,-4.1632913673414484e-06
7,0,15,-4.634143329827387e-06
7,0,16,-4.204917121472464e-06
7,0,17,-2.6766542249372853e-06
7,0,18,-1.0788257147173501e-06
7,0,19,-6.525580471966449e-07
7,0,20,-1.6868000126455909e-06
7,0,21,-2.9192344735099477e-06
7,0,22,-2.76135874195652e-06
7,0,23,-7.882425169687533e-07
7,0,24,1.4793188022278254e-06
7,0,25,1.9258648822445773e-06
7,0,26,-4.214457539137285e-07
7,0,27,-4.244778455855748e-06
7,0,28,-7.136987657697686e-06
7,0,29,-7.416578702316859e-06
7,0,30,-5.639768362381768e-06
7,0,31,-3.8053619049124323e-06
7,0,32,-3.855475427524751e-06
7,0,33,-6.074089560131944e-06
7,0,34,-9.389447362843114e-06
7,0,35,-1.2188498839983697e-05
7,0,36,-1.3625320774042168e-05
8,0,0,7.116665180182682e-07
8,0,1,1.955692489029448e-06
8,0,2,3.508486822723214e-06
8,0,3,3.942527168505298e-06
8,0,4,2.4225679587210405e-06
8,0,5,-5.604610661817733e-07
8,0,6,-3.2137574204663913e-06
8,0,7,-3.5426212507830366e-06
